                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.496,                 3.6357,                 4.2214,                0.00333,                0.41667,                0.00623,                0.01051,                 3.1976,                 3.8181,                 4.1593,                      0,                      0,                      0
                      2,                 3.2709,                  3.498,                  4.202,                0.00356,                0.44444,                0.00913,                0.00284,                 3.1976,                 3.8181,                 4.1592,             1.9802e-05,             1.9802e-05,             1.9802e-05
                      3,                 3.3775,                 3.5792,                 4.2596,                0.00333,                0.41667,                0.00623,                0.01051,                 3.1984,                 3.8181,                 4.1593,             3.9208e-05,             3.9208e-05,             3.9208e-05
                      4,                 3.3547,                  3.541,                 4.2646,                0.00356,                0.44444,                0.00641,                0.01053,                 3.1983,                 3.8182,                 4.1596,             5.8218e-05,             5.8218e-05,             5.8218e-05
                      5,                 3.6002,                 3.4902,                 4.2769,                0.00356,                0.44444,                0.00761,                0.00267,                 3.1978,                 3.8179,                 4.1596,             7.6832e-05,             7.6832e-05,             7.6832e-05
                      6,                 3.4066,                 3.5222,                 4.2288,                0.00356,                0.44444,                0.00599,                0.00229,                 3.1986,                 3.8186,                 4.1598,              9.505e-05,              9.505e-05,              9.505e-05
                      7,                 3.3835,                 3.4632,                 4.2358,                0.00356,                0.44444,                0.00599,                0.00229,                 3.1989,                   3.82,                 4.1599,             0.00011287,             0.00011287,             0.00011287
                      8,                 3.5818,                 3.5195,                 4.2311,                0.00356,                0.44444,                0.00738,                0.00316,                 3.1992,                 3.8169,                 4.1599,              0.0001303,              0.0001303,              0.0001303
                      9,                 3.6272,                 3.4316,                  4.208,                0.00356,                0.44444,                0.01701,                0.00682,                 3.1983,                  3.815,                 4.1598,             0.00014733,             0.00014733,             0.00014733
                     10,                 3.4238,                 3.4936,                 4.1721,                0.00356,                0.44444,                0.01701,                0.00682,                 3.1983,                 3.8147,                 4.1598,             0.00016396,             0.00016396,             0.00016396
                     11,                 3.1413,                 3.3796,                 4.2342,                0.00356,                0.44444,                0.01325,                0.00443,                 3.1984,                 3.8143,                 4.1595,              0.0001802,              0.0001802,              0.0001802
                     12,                 3.5106,                 3.4944,                 4.1611,                0.00333,                0.41667,                0.01952,                0.00631,                 3.1982,                 3.8101,                 4.1593,             0.00019604,             0.00019604,             0.00019604
                     13,                  3.274,                 3.4598,                 4.1419,                0.00356,                0.44444,                0.01091,                0.00455,                 3.1983,                 3.8092,                 4.1591,             0.00021149,             0.00021149,             0.00021149
