                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3944,                  3.802,                 4.2301,                0.00458,                0.51163,                0.01363,                0.00476,                  3.238,                 3.5862,                  4.159,                      0,                      0,                      0
                      2,                 3.3384,                 3.7912,                 4.2269,                0.00438,                0.48837,                 0.0131,                0.00474,                  3.238,                 3.5863,                 4.1591,              1.802e-05,              1.802e-05,              1.802e-05
                      3,                 3.2647,                 3.6952,                 4.2357,                0.00438,                0.48837,                0.01503,                0.00523,                  3.238,                 3.5863,                 4.1591,              3.208e-05,              3.208e-05,              3.208e-05
                      4,                 3.2283,                 3.5049,                 4.2012,                0.00438,                0.48837,                0.01986,                0.00594,                  3.238,                 3.5864,                 4.1592,              4.218e-05,              4.218e-05,              4.218e-05
                      5,                 3.2109,                 3.6364,                 4.1989,                0.00438,                0.48837,                0.01977,                0.00562,                  3.238,                 3.5865,                 4.1592,              4.832e-05,              4.832e-05,              4.832e-05
                      6,                 3.0974,                 3.4893,                 4.1947,                0.00438,                0.48837,                0.01455,                0.00547,                 3.2379,                 3.5866,                 4.1592,               5.05e-05,               5.05e-05,               5.05e-05
                      7,                 3.3237,                 3.5311,                 4.4604,                0.00438,                0.48837,                0.01755,                0.00622,                 3.2378,                 3.5867,                 4.1592,              4.872e-05,              4.872e-05,              4.872e-05
                      8,                 3.2087,                 3.6209,                 4.2157,                0.00438,                0.48837,                 0.0211,                0.00775,                 3.2377,                 3.5868,                 4.1592,              4.298e-05,              4.298e-05,              4.298e-05
                      9,                 3.2253,                  3.572,                 4.1765,                0.00438,                0.48837,                0.02627,                 0.0086,                 3.2376,                 3.5868,                 4.1592,              3.328e-05,              3.328e-05,              3.328e-05
                     10,                 3.1632,                 3.6015,                 4.3671,                0.00458,                0.51163,                0.09936,                0.04576,                 3.2375,                 3.5869,                 4.1592,              1.962e-05,              1.962e-05,              1.962e-05
